beta,gamma
0.177637,0.032964
0.253992,0.047376
0.133584,0.022307
0.312734,0.035741
0.362228,0.040106
0.279048,0.100550
0.231982,0.019332
0.239082,0.051555
0.302315,0.019551
0.341918,0.060116
0.473156,0.027235
0.262955,0.097384
0.332989,0.028304
0.449060,0.054419
0.323475,0.091840
0.247642,0.042611
0.129733,0.020514
0.129870,0.019730
0.278387,0.028733
0.156169,0.016916
0.226679,0.032705
0.230271,0.019829
0.247814,0.031448
0.102998,0.022231
0.323466,0.054534
0.224132,0.041648
0.329456,0.023072
0.235001,0.015620
0.262972,0.093141
0.155354,0.046461
0.306975,0.086129
0.324908,0.049433
0.359726,0.036739
0.166967,0.023935
0.153789,0.039835
0.182914,0.044954
0.279511,0.072102
0.282028,0.040062
0.298283,0.093652
0.183367,0.051982
0.311156,0.055795
0.341549,0.024989
0.255177,0.027354
0.286639,0.115098
0.154231,0.032479
0.397991,0.021959
0.316479,0.034332
0.171894,0.025379
0.177003,0.062024
0.228304,0.071982
0.135520,0.028194
0.258334,0.035386
0.398181,0.015826
0.298719,0.024231
0.463554,0.026618
0.279309,0.090241
0.158860,0.034459
0.345576,0.017336
0.219414,0.080978
0.367797,0.017742
0.422870,0.017562
0.338459,0.017680
0.171953,0.063076
0.355488,0.036890
0.477642,0.014819
0.206389,0.064586
0.255900,0.018437
0.211789,0.028354
0.257422,0.096871
0.250413,0.022451
0.280488,0.030331
0.172354,0.018274
0.237769,0.017926
0.177065,0.050736
0.252337,0.048264
0.292753,0.023190
0.259489,0.013843
0.139500,0.016033
0.253158,0.027467
0.340285,0.028559
0.140601,0.029118
0.295570,0.072080
0.156404,0.020039
0.276075,0.083489
0.348888,0.023911
0.217615,0.061222
0.154745,0.017591
0.219928,0.038537
0.430309,0.046763
0.481614,0.029095
0.203876,0.043778
0.214393,0.060685
0.129009,0.023616
0.136002,0.018547
0.264423,0.014619
0.311262,0.061463
0.283898,0.015359
0.274234,0.014953
0.318327,0.036662
0.239113,0.025627
0.310054,0.103969
0.248755,0.018093
0.160317,0.039709
0.471426,0.022893
0.414199,0.028961
0.192074,0.018337
0.177254,0.037030
0.359452,0.041415
0.207206,0.017259
0.292392,0.015136
0.327514,0.032339
0.230779,0.015221
0.356905,0.029233
0.417931,0.013658
0.251378,0.068491
0.213336,0.015560
0.162699,0.013740
0.272326,0.019305
0.362424,0.022384
0.501471,0.044164
0.169327,0.043277
0.232170,0.038410
0.474373,0.044367
0.167855,0.026370
0.301921,0.119636
0.210781,0.075361
0.274738,0.070094
0.146422,0.017890
0.265376,0.043178
0.310645,0.064511
0.340951,0.016130
0.422292,0.029014
0.234681,0.024869
0.121658,0.021200
0.232381,0.014593
0.173034,0.065176
0.205744,0.077729
0.181371,0.017260
0.277904,0.014152
0.365183,0.031149
0.234171,0.020174
0.440071,0.018181
0.231785,0.066521
0.312944,0.021270
0.310921,0.107073
0.255807,0.034161
0.142898,0.018171
0.479161,0.024937
0.192805,0.047318
0.212867,0.077182
0.152819,0.014197
0.334802,0.044903
0.165576,0.025107
0.159882,0.032941
0.263658,0.089378
0.142480,0.015098
0.357654,0.028921
0.186908,0.016088
0.170036,0.013157
0.170935,0.027593
0.384280,0.045989
0.215140,0.031985
0.413251,0.037111
0.325371,0.124551
0.309198,0.019274
0.434881,0.019374
0.190916,0.043742
0.130312,0.028021
0.351416,0.021428
0.144490,0.026118
0.189195,0.016896
