beta,gamma
0.159286,0.006751
0.182434,0.009815
0.144821,0.059713
0.094355,0.005377
0.170492,0.014619
0.084044,0.008752
0.103570,0.019079
0.079928,0.016057
0.111974,0.021947
0.057940,0.006737
0.077708,0.006048
0.176255,0.011998
0.147662,0.004064
0.282094,0.012187
0.063782,0.009534
0.145922,0.004878
0.116506,0.016415
0.112640,0.034914
0.144103,0.007612
0.361939,0.004906
0.226032,0.019639
0.131433,0.004530
0.147746,0.008098
0.263131,0.009124
0.198751,0.007986
0.137853,0.013309
0.261546,0.008473
0.116658,0.014736
0.112028,0.048007
0.180801,0.006065
0.106970,0.004709
0.144700,0.021626
0.061353,0.015480
0.084161,0.029554
0.058342,0.019019
0.173984,0.025469
0.237735,0.014635
0.127304,0.006032
0.052883,0.008016
0.266865,0.010798
0.257826,0.011531
0.153532,0.012198
0.111423,0.030551
0.187202,0.005520
0.185395,0.012532
0.123213,0.011720
0.164115,0.042067
0.284350,0.004415
0.223126,0.009335
0.118978,0.013775
0.150745,0.004183
0.057533,0.009557
0.050933,0.009680
0.286373,0.009168
0.120105,0.019511
0.192592,0.006671
0.188932,0.004379
0.314888,0.005977
0.071252,0.009645
0.118442,0.007436
0.138566,0.008013
0.057684,0.011462
0.243413,0.012991
0.141496,0.019305
0.319644,0.014374
0.138194,0.008576
0.243505,0.004642
0.072765,0.025217
0.094033,0.025437
0.158200,0.068282
0.401470,0.004659
0.068836,0.012573
0.086622,0.006828
0.213638,0.016175
0.188232,0.097499
0.077285,0.014614
0.186123,0.037941
0.092234,0.003829
0.192114,0.015772
0.146894,0.007712
0.241335,0.014801
0.061474,0.008370
0.058153,0.011423
0.076992,0.011937
0.458016,0.004352
0.102126,0.028232
0.175429,0.057311
0.241925,0.009913
0.167778,0.022917
0.124346,0.004732
0.083369,0.004616
0.247899,0.004889
0.071645,0.016806
0.122282,0.021502
0.064761,0.022746
0.123025,0.019554
0.077759,0.004423
0.126890,0.011307
0.152470,0.009866
0.087143,0.005574
0.081533,0.008993
0.089189,0.026887
0.072894,0.021348
0.147954,0.023465
0.177889,0.025746
0.081967,0.029507
0.174124,0.013562
0.044089,0.006294
0.110924,0.006755
0.176690,0.025736
0.090935,0.046869
0.138690,0.020673
0.227222,0.025453
0.081390,0.004549
0.126533,0.023022
0.380100,0.006989
0.134527,0.005398
0.222283,0.009353
0.064964,0.005556
0.102206,0.005938
0.304785,0.004371
0.249532,0.020808
0.141990,0.008861
0.156428,0.015560
0.050048,0.005251
0.124223,0.006881
0.148459,0.080260
0.113808,0.027509
0.073794,0.027913
0.140821,0.056242
0.092485,0.014994
0.055421,0.004849
0.152567,0.041725
0.106920,0.021748
0.088869,0.009899
0.156392,0.015279
0.119646,0.014302
0.068982,0.011230
0.096222,0.006747
0.089052,0.006823
0.069379,0.008346
0.043513,0.006549
0.144063,0.015247
0.110035,0.025960
0.186941,0.005130
0.150170,0.026389
0.216575,0.016872
0.257543,0.012003
0.136654,0.021006
0.089114,0.015310
0.091687,0.011192
0.101310,0.010267
0.046605,0.005993
0.128216,0.042613
0.104580,0.026331
0.068309,0.012752
0.088792,0.013734
0.266256,0.020944
0.042566,0.010118
0.162683,0.025279
0.056531,0.009668
0.106286,0.009969
0.135682,0.052159
0.081813,0.033847
0.105135,0.003975
0.046063,0.012075
0.163036,0.015201
0.081976,0.006901
0.223572,0.013787
0.148675,0.008688
0.039986,0.007754
0.176619,0.063069
0.094672,0.005092
0.081912,0.034793
0.073214,0.013103
0.302847,0.009387
0.116154,0.056426
0.101281,0.005606
0.115019,0.007374
0.071234,0.004846
0.061543,0.022215
0.155623,0.019044
0.108620,0.024108
0.066197,0.020688
0.121938,0.017023
0.129187,0.022760
0.198258,0.026343
0.051951,0.010656
0.079400,0.005064
0.066891,0.008585
0.231449,0.005418
0.100932,0.029777
0.216256,0.012640
0.148395,0.008894
0.073342,0.017437
0.167572,0.027026
0.057570,0.013015
0.219952,0.014692
0.151220,0.064894
0.081648,0.014446
0.140162,0.010775
0.115361,0.005615
0.145216,0.011595
0.051755,0.018036
0.063094,0.007129
0.199781,0.016128
0.280039,0.011793
0.398842,0.011249
0.055934,0.009576
0.142678,0.055962
0.060386,0.025594
0.201951,0.007587
0.260089,0.007924
0.196918,0.025631
0.171248,0.035599
0.095611,0.011373
0.068206,0.011119
0.201888,0.006594
0.205676,0.016769
0.184096,0.045708
0.486232,0.007751
0.138879,0.028101
0.096425,0.012318
0.149477,0.029380
0.070787,0.005704
0.065281,0.017534
0.049311,0.006315
0.160180,0.003790
0.166172,0.069435
0.107056,0.051301
0.066061,0.006987
0.167080,0.037127
0.124253,0.012563
0.069948,0.004335
0.116036,0.007337
0.091716,0.015287
0.068358,0.017818
0.146744,0.025077
0.099894,0.004659
0.117223,0.011407
0.092942,0.008727
0.317366,0.005405
0.070150,0.020601
0.200330,0.082139
0.061007,0.006010
0.147399,0.009217
