beta,gamma,epsilon
0.094371,0.015198,4.058135
0.124615,0.015150,4.964054
0.163391,0.010058,4.906566
0.101454,0.006806,5.931310
0.140461,0.011575,5.108437
0.083891,0.007491,4.596421
0.088847,0.010334,3.703526
0.101919,0.013297,3.178207
0.116760,0.012888,3.623143
0.108715,0.006240,5.717703
0.117531,0.018985,5.455682
0.114655,0.011916,2.321761
0.110792,0.012015,1.828549
0.091769,0.016772,5.201543
0.113928,0.014039,3.723834
0.089545,0.009896,3.165320
0.144069,0.012809,5.977449
0.120721,0.011282,1.387648
0.077646,0.012606,5.455859
0.106048,0.010467,0.974510
0.120035,0.017040,5.409494
0.093940,0.017591,5.087245
0.101211,0.008002,2.864206
0.116636,0.012904,3.176676
0.104284,0.018424,5.303817
0.111555,0.007797,3.005241
0.084452,0.010460,2.231665
0.092338,0.016451,4.948021
0.102986,0.005899,5.624720
0.120682,0.016986,4.537465
0.132970,0.014160,4.418954
0.125306,0.009377,2.888592
0.105840,0.016735,5.030499
0.103464,0.016612,4.221997
0.105958,0.015263,3.794196
0.129665,0.013505,5.154355
0.100846,0.014007,3.273020
0.117380,0.017736,5.461430
0.085278,0.009488,3.149475
0.092658,0.016106,5.033872
0.113789,0.017185,5.410929
0.136320,0.008620,3.869193
0.123335,0.017100,5.645092
0.099221,0.007929,2.532576
0.115819,0.008436,1.756786
0.091539,0.012358,2.902939
0.125790,0.007363,4.241995
0.100577,0.016169,4.428384
0.129211,0.008778,3.821217
0.121960,0.010249,2.965011
0.136004,0.016739,5.608434
0.150464,0.012095,4.399606
0.128896,0.015560,5.691658
0.099158,0.010355,1.489151
0.106757,0.019624,5.810352
0.110241,0.007737,3.078333
0.106870,0.015106,4.220079
0.129645,0.013261,5.865786
0.111762,0.006337,5.662790
0.093584,0.015672,5.155040
0.149811,0.008442,5.721994
0.114698,0.011430,1.255051
0.109981,0.011814,3.560070
0.121687,0.011466,2.053754
0.128304,0.007654,3.396671
0.095086,0.013285,4.917739
0.094610,0.008696,3.975147
0.095712,0.008696,3.452411
0.096611,0.015893,4.703216
0.101259,0.017629,5.108780
0.105832,0.010652,1.221727
0.092483,0.015106,5.077605
0.109945,0.009538,1.482128
0.134410,0.011466,4.209852
0.114196,0.012291,2.196265
0.112192,0.009240,1.766901
0.124148,0.009844,1.998514
0.148365,0.009147,5.039678
0.146839,0.007118,5.686169
0.113318,0.011843,2.700821
0.132169,0.010036,3.044469
0.109873,0.008773,2.291734
0.148992,0.007892,5.282819
0.104588,0.010654,0.948186
0.106129,0.014830,3.631488
0.117340,0.005883,5.419597
0.100253,0.019449,5.299006
0.159910,0.010406,4.289933
0.096736,0.016658,4.995213
0.094932,0.011451,1.846010
0.142452,0.011112,4.662772
0.106713,0.020128,5.884687
0.107560,0.020466,5.852083
0.114793,0.013464,3.406440
0.117058,0.007381,4.231995
0.103388,0.007966,2.379363
0.093394,0.007388,5.250673
0.110688,0.010322,0.987787
0.099719,0.016636,5.088250
0.079302,0.010603,5.370928
0.103287,0.010154,1.370095
0.102400,0.010146,1.586954
0.102779,0.017057,5.231174
0.116033,0.007794,3.098620
0.100734,0.019818,5.698245
0.119914,0.012366,2.750216
0.092904,0.008648,1.738953
0.109167,0.017689,5.491293
0.080104,0.008204,5.029041
0.114423,0.018938,5.858689
0.103308,0.012399,2.564771
0.138206,0.011150,4.620977
0.145248,0.008215,3.970700
0.084604,0.010016,3.527937
0.132014,0.007823,3.273516
0.137597,0.006070,5.784724
0.089135,0.008330,3.835846
0.100669,0.018336,5.688991
